instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,981.864286,987.624578,984.771976,991.796978,1077.460000,1077.560000,3.223224,3.665475,16.506888,16.521165,2839,104616,600.000000,4,42,42,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Matrix,4,-134.526274,-115.761872,-134.526274,102.193151,272.980000,272.980000,0.075043,0.854920,10.384087,13.283436,2149,95202,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
10,0,Matrix,4,220.339797,229.843416,223.314133,370.378720,540.500000,540.500000,0.081533,1.063917,7.660181,26.181120,5270,211245,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
2,0,Matrix,4,173.883058,199.250827,174.806912,317.308150,474.014385,474.050000,0.073830,0.939697,10.555473,17.052029,3556,126231,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
3,0,Matrix,4,-3.766804,19.942326,-3.766804,228.734607,289.900000,289.900000,0.074694,0.727296,2.960917,3.011970,724,21108,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
4,0,Matrix,4,-101.607849,-85.674880,-101.607849,59.153791,231.980000,231.980000,0.085311,0.817129,12.448460,14.266852,3231,106328,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
5,0,Matrix,4,24.103240,41.415536,24.103240,204.698200,334.170000,334.170000,0.076555,0.837516,13.159899,14.419614,2138,94826,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
6,0,Matrix,4,57.724791,61.087426,57.724791,213.490020,363.180000,363.180000,0.086267,0.668219,13.296972,13.297173,1729,79902,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
7,0,Matrix,4,-477.030152,-454.779694,-477.030152,-290.177671,-143.920000,-143.920000,0.074839,0.860921,2.864967,2.865131,542,18647,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
8,0,Matrix,4,-418.003481,-403.688307,-418.003481,-209.813288,-76.330000,-76.330000,0.074904,0.776779,5.694366,7.533261,1043,38389,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
9,0,Matrix,4,13.948638,13.948638,13.948638,193.996499,258.180000,258.180000,0.083785,0.923834,1.794398,2.126788,366,12066,600.000000,4,42,0,GUROBI,1,0,0,0,0,0,0,0,1,0,0
