instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,404.658413,405.153155,405.120404,407.440108,410.728314,410.763701,19.858236,24.984943,89.473830,123.658223,1598,204742,600.000000,4,35,74,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Term,4,404.208213,404.664770,404.539746,407.388920,410.562957,410.601898,1.347927,6.312227,19.972796,104.075390,1652,205065,600.000000,4,35,0,GUROBI,1,0,0,0,4,32,0,0,0,1,0
10,0,Term,4,404.529677,405.019130,404.887564,407.078252,410.621667,410.662515,0.982194,6.205984,40.546393,84.874838,1256,175300,600.000000,4,35,0,GUROBI,1,0,0,0,4,32,0,0,0,1,0
2,0,Term,4,404.450383,404.936297,404.803611,407.263812,410.604610,410.645529,0.941600,6.960898,106.292850,109.435300,1845,218190,600.000000,4,35,0,GUROBI,1,0,0,0,4,32,0,0,0,1,0
3,0,Term,4,403.992833,404.488836,404.366852,407.326421,410.492207,410.532851,0.938793,5.742205,14.253192,108.241794,1852,213529,600.000000,4,35,0,GUROBI,1,0,0,0,4,33,0,0,0,1,0
4,0,Term,4,404.406567,404.965673,404.654372,407.090716,410.462862,410.494573,1.241056,6.132186,89.460774,107.157427,1842,218195,600.000000,4,35,0,GUROBI,1,0,0,0,4,33,0,0,0,1,0
5,0,Term,4,403.811411,404.246673,403.898139,406.527553,409.809852,409.843455,1.186095,6.582334,124.139111,124.139653,2149,249348,600.000000,4,35,0,GUROBI,1,0,0,0,4,35,0,0,0,1,0
6,0,Term,4,404.902632,405.402632,405.136407,407.395026,410.782382,410.820418,1.339668,6.164409,17.765655,126.301179,2111,252819,600.000000,4,35,0,GUROBI,1,0,0,0,4,35,0,0,0,1,0
7,0,Term,4,404.545469,405.041265,404.963926,407.159321,410.568498,410.597753,0.767068,6.069916,59.888176,181.831183,2995,357289,600.000000,4,35,0,GUROBI,1,0,0,0,4,32,0,0,0,1,0
8,0,Term,4,404.057621,404.551917,404.326361,407.028572,410.023220,410.057710,1.036825,6.061844,15.868439,75.286031,1149,145985,600.000000,4,35,0,GUROBI,1,0,0,0,4,35,0,0,0,1,0
9,0,Term,4,404.479755,404.972964,404.820895,407.304669,410.597760,410.638433,0.985508,5.862063,127.193970,129.130293,1629,218165,600.000000,4,35,0,GUROBI,1,0,0,0,4,32,0,0,0,1,0
