instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,404.658413,404.658413,404.658413,407.557176,410.727048,410.763701,0.000003,5.965575,67.451215,106.132421,1534,191366,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,404.658413,404.658413,404.658413,407.451061,410.744214,410.763701,0.000003,5.287210,19.934252,106.448514,1928,207590,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,404.658413,404.658413,404.658413,407.557176,410.727048,410.763701,0.000003,5.930684,59.382366,98.172670,1534,191366,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,404.658413,404.658413,404.658413,407.692245,410.723782,410.763701,0.000004,5.770782,82.372685,88.183843,1454,224197,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,404.658413,404.658413,404.658413,407.524999,410.724412,410.763701,0.000003,5.280180,13.099925,79.132102,1177,150294,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,404.661490,404.661490,404.661490,407.363109,410.725653,410.763701,0.000003,5.402293,124.790586,127.003865,2205,248864,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,404.658413,404.658413,404.658413,407.499643,410.736222,410.763701,0.000003,5.043245,44.235657,111.764820,1644,214838,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,404.658413,404.658413,404.658413,407.456113,410.727756,410.763701,0.000004,4.993060,8.774598,79.343486,1313,157906,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,404.864087,404.864087,404.864087,407.530435,410.876753,410.912409,0.000003,5.092012,95.603222,130.581226,1564,248052,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,404.658413,404.658413,404.658413,407.481819,410.723959,410.763701,0.000002,5.468168,21.065798,95.170046,1604,201089,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,404.883957,404.883957,404.883957,407.240365,410.887498,410.926328,0.000003,4.594849,124.263145,142.288537,2481,294135,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
