instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,404.658413,405.153155,405.120404,407.529169,410.725161,410.763701,19.597095,25.206341,116.892231,119.192191,1713,199295,600.000000,4,35,74,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,Disjunction,4,428.704020,428.751178,428.704020,429.822565,431.877909,431.918382,8.277419,10.912233,25.495740,28.580716,698,50148,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
10,0,Disjunction,4,424.048970,424.459925,424.048970,425.134766,427.396520,427.433424,8.354317,11.043221,13.402445,43.669636,1035,83701,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
2,0,Disjunction,4,432.610391,432.747153,432.610391,433.791299,435.592969,435.627341,8.052519,10.112826,12.020557,19.150126,272,28465,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
3,0,Disjunction,4,427.538946,428.000861,427.538946,429.218333,432.336852,432.379183,6.596042,9.363134,55.564449,55.564980,1454,119974,600.000000,4,35,0,GUROBI,1,1,1,0,3,0,0,1,0,0,0
4,0,Disjunction,4,431.147474,431.147474,431.147474,431.837277,434.296015,434.339302,6.049851,7.860370,13.611146,24.600676,694,50452,600.000000,4,35,0,GUROBI,1,1,1,0,3,0,0,1,0,0,0
5,0,Disjunction,4,435.513740,435.513740,435.513740,436.286889,436.796291,436.804770,7.765002,10.325283,10.748154,11.023121,25,3995,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
6,0,Disjunction,4,425.326859,425.523656,425.326859,426.323535,428.924772,428.959057,8.625814,11.358279,17.258626,22.563955,271,31041,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
7,0,Disjunction,4,430.655476,430.930030,430.655476,431.943355,433.585078,433.585078,8.039466,10.598914,19.867560,19.868076,334,23689,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
8,0,Disjunction,4,428.151706,428.288803,428.151706,428.577523,430.241655,430.241655,8.832073,11.522141,15.590368,19.188677,182,21198,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
9,0,Disjunction,4,432.388463,432.592502,432.388463,433.756818,435.314845,435.342316,8.411457,11.063823,12.762522,20.007509,240,27687,600.000000,4,35,0,GUROBI,1,0,0,0,4,0,0,1,0,0,0
