instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,4,216670237.636667,216670237.636667,216670237.636667,218064596.952081,219676790.400000,219676790.400000,0.000003,6.458524,26.101618,34.500381,1187,65494,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,4,216670246.095501,216670246.095501,216670246.095501,218018813.718000,219656047.640090,219676799.400000,0.000003,5.518349,34.880461,36.988009,1260,68176,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,4,216670241.659671,216670241.659671,216670241.659671,218054660.592071,219662452.923864,219676788.400000,0.000003,7.149759,50.376920,50.377594,1824,110485,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,4,216670242.850203,216670242.850203,216670242.850203,218044881.179163,219658647.061837,219676802.400000,0.000003,8.216514,51.055188,51.225670,1784,105556,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,4,216670247.591642,216670247.591642,216670247.591642,218121535.840378,219660981.374896,219676798.400000,0.000003,5.140604,56.651814,58.261561,2028,111428,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,4,216670234.418948,216670234.418948,216670234.418948,218032790.224530,219660225.440273,219676774.400000,0.000002,5.583995,38.016078,41.650424,1907,89507,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,4,216670228.609342,216670228.609342,216670228.609342,218090281.612819,219655093.936129,219676771.400000,0.000003,6.171418,62.774811,63.078077,3004,179704,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,4,216670219.587776,216670219.587776,216670219.587776,218185113.720520,219657948.696668,219676785.400000,0.000003,6.160066,47.731839,53.439384,1422,77724,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,4,216670237.239213,216670237.239213,216670237.239213,218121399.856596,219656384.286349,219676785.400000,0.000003,7.380901,37.647912,41.962755,1465,75941,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,4,216670225.464874,216670225.464874,216670225.464874,218221819.454358,219675250.725851,219676794.400000,0.000004,7.842370,51.754412,51.755122,1782,92434,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,4,216670231.118124,216670231.118124,216670231.118124,218023499.860213,219655215.484903,219676788.400000,0.000003,6.896720,71.036397,72.732336,2486,162665,600.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
